"","feature","p-value"
"1","Income",7.0681346587958e-24
"2","enrolled_months",1.50770943086107e-18
"3","education_ordinary_domain",0.000118142847169533
"4","marital_status_ordinary_domain",1.94283020038998e-10
"5","age",0.115270168192492
"6","Kidhome",0.00103183393075105
"7","Teenhome",3.52931148474864e-13
"8","children_number",3.25527454671003e-20
"9","Recency",1.02609403177237e-18
"10","MntWines",1.58047795371535e-28
"11","wines_perc",0.484088498081186
"12","MntFruits",7.79929843483252e-10
"13","fruits_perc",0.000597228932064647
"14","MntMeatProducts",9.92867327004921e-29
"15","meat_perc",0.000146577147896848
"16","MntFishProducts",3.45584089940533e-06
"17","fish_perc",0.00199994625206443
"18","MntSweetProducts",1.34300536114733e-10
"19","sweet_perc",0.0231410086278816
"20","MntGoldProds",1.16789306900427e-16
"21","total_spent",1.06376140066746e-33
"22","NumDealsPurchases",0.000471555650786713
"23","NumWebPurchases",6.14484268539669e-16
"24","web_perc",0.0477240270420444
"25","NumCatalogPurchases",2.59290113723855e-22
"26","catalog_perc",1.486554232401e-28
"27","NumStorePurchases",2.6120063862701e-09
"28","store_perc",9.69109135665562e-37
"29","total_purchases",3.22121138913667e-10
"30","spent_per_purchase",1.89133327533691e-30
"31","NumWebVisitsMonth",1.25433147476105e-06
"32","Complain",0.923895608166447
"33","total_campaigns",1.9248580335692e-86
"34","AcceptedCmp1",1.61842007194642e-44
"35","AcceptedCmp2",1.59444860743168e-15
"37","AcceptedCmp3",5.95867202820501e-33
"38","AcceptedCmp4",2.19351810442452e-17
"39","AcceptedCmp5",2.50253726592038e-52
